stamp,source,odom_x,odom_y,odom_yaw,cmd_v,cmd_w,pix_u,pix_v,pix_yaw
10.33,pixel,,,,,,558.0113525390625,628.6135864257812,0.0
10.393,odom,0.031003896657726505,0.00013901188811100927,0.008968968419752272,0.21988854712674574,0.06366454270402169,,,
10.413,odom,0.03540146441821138,0.00018125452509759832,0.010242259271257098,0.2198901776905519,0.06319707925934723,,,
10.363,pixel,,,,,,558.99169921875,627.9368896484375,0.0
10.433,odom,0.03979900436046287,0.00022908017923724578,0.011507135780761004,0.2198901776905519,0.06319707925934723,,,
10.453,odom,0.04419648359979218,0.00028246427058731374,0.012771077363363519,0.2198901776905519,0.06319707925934723,,,
10.396,pixel,,,,,,559.9883422851562,627.2840576171875,0.0
10.473,odom,0.04859391830174972,0.00034140094862141347,0.014027364744336183,0.21989394487617456,0.06210362188171252,,,
10.493,odom,0.05299132508599978,0.0004058205340802742,0.015269437179377433,0.21989394487617456,0.06210362188171252,,,
10.429,pixel,,,,,,560.9103393554688,626.7678833007812,0.0
10.462,pixel,,,,,,561.89794921875,626.0504150390625,0.0
10.513,odom,0.05738860987883853,0.00047570742297388407,0.01652258286025275,0.21988624670446794,0.06431827105659721,,,
10.533,odom,0.061785686600966595,0.0005511940257051388,0.017808948278783765,0.21988624670446794,0.06431827105659721,,,
10.495,pixel,,,,,,562.7635498046875,625.43408203125,0.0
10.553,odom,0.06618266258176632,0.0006323368118594859,0.019095313697310445,0.21988624670446794,0.06431827105659721,,,
10.573,odom,0.07057966412948603,0.0007190631258310954,0.020343705046680944,0.21989358605533693,0.06220860054623705,,,
10.528,pixel,,,,,,563.7744140625,624.7843017578125,0.0
10.593,odom,0.0749765690283182,0.0008112612246068152,0.021587877054992682,0.21989358605533693,0.06220860054623705,,,
10.613,odom,0.07937336891497737,0.000908928780303689,0.022828186868991625,0.21989794458643766,0.060921202436346855,,,
10.561,pixel,,,,,,564.6669311523438,624.2002563476562,0.0
10.633,odom,0.08377011966479057,0.0010119960541657856,0.02404661091509772,0.21989794458643766,0.060921202436346855,,,
10.653,odom,0.0881667415713767,0.0011204203570362318,0.025265034961199136,0.21989794458643766,0.060921202436346855,,,
10.594,pixel,,,,,,565.595703125,623.5452880859375,0.0
10.673,odom,0.09256323050735576,0.0012342010422059168,0.02648274619554691,0.21989828544782125,0.06081937218606624,,,
10.693,odom,0.09695958216845044,0.0013533314863657484,0.027699133636635554,0.21989828544782125,0.06081937218606624,,,
10.627,pixel,,,,,,566.5145874023438,622.9246826171875,0.0
10.713000000000001,odom,0.1013558132933797,0.0014778066185150438,0.028907145580762607,0.21990516800190169,0.05872549758822762,,,
10.66,pixel,,,,,,567.40625,622.3273315429688,0.0
10.733,odom,0.10575200354092461,0.001607507226489952,0.03008165553549995,0.21990516800190169,0.05872549758822762,,,
10.753,odom,0.11014803842163523,0.0017423711130278381,0.031256165490234446,0.21990516800190169,0.05872549758822762,,,
10.693,pixel,,,,,,568.3280029296875,621.6162109375,0.0
10.773,odom,0.1145439215326378,0.0018823964327762419,0.0324276893088867,0.21990676845024132,0.05822780824056138,,,
10.726,pixel,,,,,,569.3095703125,621.0306396484375,0.0
10.793,odom,0.11893966063906536,0.0020275523646152024,0.033592245476661065,0.21990676845024132,0.05822780824056138,,,
10.813,odom,0.1233352277225644,0.002177827281955843,0.034756801644432365,0.21990676845024132,0.05822780824056138,,,
10.833,odom,0.1277306923063301,0.0023331874266977037,0.03589783327032092,0.21991207136480834,0.05654748381870411,,,
10.759,pixel,,,,,,570.184814453125,620.41796875,0.0
10.853,odom,0.1321260099319749,0.0024935263145656303,0.037028782949647746,0.21991207136480834,0.05654748381870411,,,
10.873,odom,0.13652114723375203,0.0026588359910448655,0.03815849064670639,0.21991589115112334,0.055305501531410846,,,
