stamp,x,y,yaw,cov_x,cov_y,cov_yaw,cmd_v,cmd_w,goal_x,goal_y,goal_dist,plan_points,plan_length,efe_total,efe_risk,efe_ambiguity,efe_control,efe_boundary,efe_visibility,seed
447.151,-3.317052300863747,-2.9106187965475443,1.2194032586446208,0.0,0.0,1e-12,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
447.151,-3.317052300863747,-2.9106187965475443,1.2194032586446208,0.0,0.0,1e-12,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
447.151,-3.317052300863747,-2.9106187965475443,1.2194032586446208,0.0,0.0,1e-12,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
447.448,-3.371683796896876,-2.891630823187169,1.1674550559315606,0.0,0.0,1e-12,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
447.448,-3.371683796896876,-2.891630823187169,1.1674550559315606,0.0,0.0,1e-12,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
447.448,-3.371683796896876,-2.891630823187169,1.1674550559315606,0.0,0.0,1e-12,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
447.448,-3.371683796896876,-2.891630823187169,1.1674550559315606,0.0,0.0,1e-12,0.0,0.0,4.4,3.8,10.255583460377963,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
447.547,-3.388371231267831,-2.8836559879252457,1.153136761669927,0.0,0.0,1e-12,0.0,0.0,4.4,3.8,10.26303969596578,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
447.547,-3.388371231267831,-2.8836559879252457,1.153136761669927,0.0,0.0,1e-12,0.0,0.0,4.4,3.8,10.26303969596578,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
447.58,-3.395330001260116,-2.887067454817052,1.1489071635017003,0.0,0.0,1e-12,0.0,0.0,4.4,3.8,10.270542389466073,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
447.58,-3.395330001260116,-2.887067454817052,1.1489071635017003,0.0,0.0,1e-12,0.0,0.0,4.4,3.8,10.270542389466073,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
447.58,-3.395330001260116,-2.887067454817052,1.1489071635017003,0.0,0.0,1e-12,0.0,0.0,4.4,3.8,10.270542389466073,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
447.58,-3.395330001260116,-2.887067454817052,1.1489071635017003,0.0,0.0,1e-12,0.0,0.0,4.4,3.8,10.270542389466073,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
447.58,-3.395330001260116,-2.887067454817052,1.1489071635017003,0.0,0.0,1e-12,0.0,0.0,4.4,3.8,10.270542389466073,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
