diag_stamp,log_stamp,detected,true_available,true_x,true_y,true_yaw,state_available,state_x,state_y,state_yaw,state_pos_error,state_yaw_error_deg,obs_u,obs_v,obs_yaw,obs_yaw_error_deg,pixel_pose_available,pixel_pose_stamp,pixel_pose_u,pixel_pose_v,pixel_pose_yaw,pixel_pose_age_s,u_red,v_red,red_area_px,u_blue,v_blue,blue_area_px,separation_px,border_margin_px,seed
5.795,0.0,1,0,nan,nan,nan,1,-4.99999999999593,2.4000000000000123,-4.891721584718048e-12,nan,nan,125.98269624522268,319.6989517684045,-4.891721584718048e-12,nan,1,5.795,125.98269624522268,319.6989517684045,-4.891721584718048e-12,0.0,nan,nan,nan,nan,nan,nan,nan,125.98269624522268,0
5.815,0.0,1,0,nan,nan,nan,1,-4.99999999999593,2.4000000000000123,-4.891721580338541e-12,nan,nan,125.98269624522268,319.6989517684045,-4.891721580338541e-12,nan,1,5.816,125.98269624522268,319.6989517684045,-4.891721580338541e-12,0.0,nan,nan,nan,nan,nan,nan,nan,125.98269624522268,0
5.835,0.0,1,0,nan,nan,nan,1,-4.99999999999593,2.4000000000000123,-4.891721573277973e-12,nan,nan,125.98269624522268,319.6989517684045,-4.891721573277973e-12,nan,1,5.839,125.98269624522268,319.6989517684045,-4.891721573277973e-12,0.0,nan,nan,nan,nan,nan,nan,nan,125.98269624522268,0
5.855,0.0,1,0,nan,nan,nan,1,-4.99999999999593,2.4000000000000123,-4.891721573277973e-12,nan,nan,125.98269624522268,319.6989517684045,-4.891721574477688e-12,nan,1,5.855,125.98269624522268,319.6989517684045,-4.891721574477688e-12,0.0,nan,nan,nan,nan,nan,nan,nan,125.98269624522268,0
5.875,0.0,1,0,nan,nan,nan,1,-4.99999999999593,2.4000000000000123,-4.891721574477688e-12,nan,nan,125.98269624522268,319.6989517684045,-4.891721582283157e-12,nan,1,5.875,125.98269624522268,319.6989517684045,-4.891721582283157e-12,0.0,nan,nan,nan,nan,nan,nan,nan,125.98269624522268,0
5.895,0.0,1,0,nan,nan,nan,1,-4.99999999999593,2.4000000000000123,-4.891721582283157e-12,nan,nan,125.98269624522268,319.6989517684045,-4.891721576964807e-12,nan,1,5.895,125.98269624522268,319.6989517684045,-4.891721576964807e-12,0.0,nan,nan,nan,nan,nan,nan,nan,125.98269624522268,0
5.915,0.0,1,0,nan,nan,nan,1,-4.99999999999593,2.4000000000000123,-4.891721576964807e-12,nan,nan,125.98269624522268,319.6989517684045,-4.891721588153328e-12,nan,1,5.915,125.98269624522268,319.6989517684045,-4.891721588153328e-12,0.0,nan,nan,nan,nan,nan,nan,nan,125.98269624522268,0
5.9350000000000005,0.0,1,0,nan,nan,nan,1,-4.99999999999593,2.4000000000000123,-4.891721594091363e-12,nan,nan,125.98269624522268,319.6989517684045,-4.891721594091363e-12,nan,1,5.9350000000000005,125.98269624522268,319.6989517684045,-4.891721594091363e-12,0.0,nan,nan,nan,nan,nan,nan,nan,125.98269624522268,0
5.955,0.0,1,0,nan,nan,nan,1,-4.99999999999593,2.4000000000000123,-4.891721594091363e-12,nan,nan,125.98269624522268,319.6989517684045,-4.891721588400199e-12,nan,1,5.956,125.98269624522268,319.6989517684045,-4.891721588400199e-12,0.0,nan,nan,nan,nan,nan,nan,nan,125.98269624522268,0
5.975,0.0,1,0,nan,nan,nan,1,-4.99999999999593,2.4000000000000123,-4.891721588400199e-12,nan,nan,125.98269624522268,319.6989517684045,-4.8917215767037495e-12,nan,1,5.975,125.98269624522268,319.6989517684045,-4.8917215767037495e-12,0.0,nan,nan,nan,nan,nan,nan,nan,125.98269624522268,0
