stamp,x,y,yaw,cov_x,cov_y,cov_yaw,cmd_v,cmd_w,goal_x,goal_y,goal_dist,plan_points,plan_length,seed
14.29,1.4041455706618782,1.403465465294703,0.7867816255697835,0.0,0.0,1e-12,0.21999998044344582,-0.0008432955798791664,3.0,3.0,2.2573599358863357,45,3.023465114944376,0
14.386,1.4196810551390868,1.4190426483886631,0.786696091165108,0.0,0.0,1e-12,0.21999998190545988,-0.0008111616888184514,3.0,3.0,2.2353599520212044,45,3.023465114944376,0
14.484,1.4352178251200869,1.434618549707911,0.7866166873505858,0.0,0.0,1e-12,0.21999998485782213,-0.000742040872373062,3.0,3.0,2.2133599661465992,45,3.023465114944376,0
14.581,1.450755792725001,1.450193256613123,0.7865421573860244,0.0,0.0,1e-12,0.21999998595039216,-0.0007147690787059346,3.0,3.0,2.1913599785572835,45,3.023465114944376,0
14.685,1.4662948838560892,1.465766842834214,0.7864724802596695,0.0,0.0,1e-12,0.21999998819792027,-0.0006551080363796924,3.0,3.0,2.1693599894514746,45,3.023465114944376,0
14.785,1.481835023000181,1.4813393835157718,0.7864070082525149,0.0,0.0,1e-12,0.21999998957141548,-0.0006158094335400044,3.0,3.0,2.1473599990334917,45,3.023465114944376,0
14.88,1.497376163509169,1.4969109249921249,0.7863443635084921,0.0,0.0,1e-12,0.2199999903657958,-0.0005918907840967158,3.0,3.0,2.125360007480722,45,3.023465114944376,0
14.98,1.5129182443131692,1.5124815281533512,0.7862859623021962,0.0,0.0,1e-12,0.21999999196977252,-0.0005403778987240759,3.0,3.0,2.103360014876582,41,2.7327301356736613,0
15.082,1.5284612075262192,1.5280512506375639,0.7862313299431872,0.0,0.0,1e-12,0.21999999256867347,-0.000519836567414167,3.0,3.0,2.0813600213573893,41,2.7327301356736613,0
15.18,1.544004990845864,1.5436201545301953,0.7861802899276512,0.0,0.0,1e-12,0.21999999377513987,-0.00047577153284650286,3.0,3.0,2.0593600270405377,41,2.7327301356736613,0
15.28,1.5595495441507246,1.559188289770534,0.7861325965124921,0.0,0.0,1e-12,0.21999999450317495,-0.00044708449777419723,3.0,3.0,2.0373600320244685,41,2.7327301356736613,0
15.362,1.5719857080722124,1.5716422775200238,0.7860962580154057,0.0,0.0,1e-12,0.21999999490722633,-0.00043033913533796486,3.0,3.0,2.01976003557804,41,2.7327301356736613,0
15.467,1.587531532844273,1.5872091432756208,0.7860530790985998,0.0,0.0,1e-12,0.21999999552909152,-0.00040321023135558853,3.0,3.0,1.9977600395325898,41,2.7327301356736613,0
15.577,1.6030780029397635,1.602775364661324,0.7860132291781282,0.0,0.0,1e-12,0.21999999615050456,-0.0003741412195013005,3.0,3.0,1.9757600429880282,41,2.7327301356736613,0
15.676,1.6186250777430897,1.6183409821454877,0.7859754444189038,0.0,0.0,1e-12,0.21999999652237417,-0.0003556109117912598,3.0,3.0,1.9537600460289335,41,2.7327301356736613,0
15.787,1.6372823120901865,1.6370189794950183,0.785933448984846,0.0,0.0,1e-12,0.21999999700500084,-0.0003300137281847526,3.0,3.0,1.92736004918621,41,2.7327301356736613,0
15.870000000000001,1.6497208920596824,1.649470554494012,0.7859072090974497,0.0,0.0,1e-12,0.21999999735674147,-0.00031002982412609015,3.0,3.0,1.9097600510322785,41,2.7327301356736613,0
15.962,1.6652695636080892,1.6650345771493018,0.7858760206943338,0.0,0.0,1e-12,0.21999999767011189,-0.0002910725075551124,3.0,3.0,1.8877600530888146,41,2.7327301356736613,0
16.07,1.680818707260627,1.6805981281977722,0.785846792215752,0.0,0.0,1e-12,0.21999999778408605,-0.00028386385801515424,3.0,3.0,1.8657600548915032,41,2.7327301356736613,0
16.196,1.699478261476302,1.6992738081898222,0.7858138204387294,0.0,0.0,1e-12,0.21999999809881404,-0.00026293351760320327,3.0,3.0,1.839360056768035,41,2.7327301356736613,0
16.27,1.7119182969013083,1.7117239292095687,0.7857931539228613,0.0,0.0,1e-12,0.21999999841301285,-0.0002402261924125959,3.0,3.0,1.8217600578640587,37,2.450990254560454,0
